DataVenda,Codigo
2017-01-05,1
2017-01-11,1
2017-01-19,4
2017-02-07,1
2017-02-13,1
2017-02-17,1
2017-02-20,2
2017-02-23,5
2017-02-24,2
2017-03-01,2
2017-03-06,7
2017-03-21,11
2017-03-24,1
2017-03-27,2
2017-04-07,2
2017-04-12,3
2017-04-20,1
2017-04-26,5
2017-05-04,1
2017-05-16,5
2017-05-23,1
2017-06-01,5
2017-06-07,2
2017-06-16,2
2017-06-19,1
2017-06-27,1
2017-07-05,7
2017-07-11,4
2017-07-17,1
2017-07-18,5
2017-07-19,2
2017-07-25,2
2017-07-26,9
2017-07-27,4
2017-07-28,6
2017-08-03,2
2017-08-07,1
2017-08-08,6
2017-08-09,4
2017-08-11,3
2017-08-14,1
2017-08-15,1
2017-08-16,7
2017-08-18,11
2017-08-21,3
2017-08-23,1
2017-08-28,8
2017-08-30,10
2017-08-31,1
2017-09-01,1
2017-09-04,8
2017-09-05,5
2017-09-06,3
2017-09-12,3
2017-09-14,2
2017-09-21,2
2017-09-25,2
2017-09-26,8
2017-09-27,5
2017-09-29,17
2017-10-02,8
2017-10-05,2
2017-10-06,1
2017-10-09,2
2017-10-13,3
2017-10-19,2
2017-10-20,3
2017-10-24,1
2017-10-25,1
2017-10-26,4
2017-10-27,2
2017-11-09,3
2017-11-14,16
2017-11-17,7
2017-11-24,3
2017-11-27,10
2017-11-28,1
2017-12-01,3
2017-12-05,6
2017-12-07,2
2017-12-08,6
2017-12-11,1
2017-12-12,1
2017-12-13,1
2017-12-14,12
2017-12-18,3
2017-12-19,4
2017-12-20,15
2017-12-27,15
2017-12-28,5
2017-12-29,5
2018-01-04,10
2018-01-08,2
2018-01-09,16
2018-01-10,4
2018-01-11,5
2018-01-12,1
2018-01-15,9
2018-01-16,10
2018-01-17,3
2018-01-18,7
2018-01-19,13
2018-01-23,5
2018-01-26,9
2018-01-29,4
2018-01-30,6
2018-01-31,1
2018-02-02,6
2018-02-05,15
2018-02-06,9
2018-02-07,31
2018-02-08,10
2018-02-09,5
2018-02-14,9
2018-02-15,12
2018-02-16,9
2018-02-19,5
2018-02-20,5
2018-02-21,4
2018-02-22,23
2018-02-23,24
2018-02-27,9
2018-02-28,7
2018-03-01,4
2018-03-02,19
2018-03-05,13
2018-03-06,8
2018-03-07,6
2018-03-08,2
2018-03-09,5
2018-03-12,8
2018-03-13,10
2018-03-14,7
2018-03-15,20
2018-03-16,10
2018-03-20,2
2018-03-21,7
2018-03-22,9
2018-03-23,10
2018-03-26,4
2018-03-27,16
2018-03-28,5
2018-03-29,5
2018-04-02,3
2018-04-03,2
2018-04-04,19
2018-04-05,5
2018-04-06,10
2018-04-09,6
2018-04-10,5
2018-04-11,6
2018-04-12,2
2018-04-13,2
2018-04-16,2
2018-04-17,5
2018-04-18,5
2018-04-19,17
2018-04-20,10
2018-04-25,3
2018-04-26,9
2018-04-30,35
2018-05-02,1
2018-05-03,2
2018-05-04,5
2018-05-09,15
2018-05-10,6
2018-05-11,3
2018-05-14,7
2018-05-15,5
2018-05-16,3
2018-05-17,5
2018-05-18,4
2018-05-21,1
2018-05-22,35
2018-05-23,2
2018-05-24,4
2018-05-25,4
2018-05-28,8
2018-05-29,6
2018-06-01,3
2018-06-04,6
2018-06-05,20
2018-06-06,13
2018-06-07,22
2018-06-08,8
2018-06-11,25
2018-06-12,5
2018-06-13,21
2018-06-14,2
2018-06-15,6
2018-06-18,9
2018-06-19,18
2018-06-20,10
2018-06-21,9
2018-06-22,17
2018-06-25,7
2018-06-27,7
2018-06-28,12
2018-06-29,1
2018-07-02,8
2018-07-03,14
2018-07-04,34
2018-07-05,13
2018-07-06,2
2018-07-10,32
2018-07-11,15
2018-07-12,3
2018-07-13,8
2018-07-16,20
2018-07-17,29
2018-07-18,9
2018-07-19,9
2018-07-20,10
2018-07-23,6
2018-07-24,24
2018-07-25,17
2018-07-26,20
2018-07-27,24
2018-07-30,1
2018-07-31,15
2018-08-01,29
2018-08-02,8
2018-08-03,6
2018-08-06,12
2018-08-07,16
2018-08-08,11
2018-08-09,20
2018-08-10,8
2018-08-13,5
2018-08-14,21
2018-08-16,20
2018-08-17,29
2018-08-20,7
2018-08-21,14
2018-08-22,20
2018-08-23,3
2018-08-24,11
2018-08-27,2
2018-08-28,4
2018-08-29,7
2018-08-30,1
2018-08-31,18
2018-09-03,17
2018-09-04,26
2018-09-05,27
2018-09-06,9
2018-09-10,12
2018-09-11,31
2018-09-13,26
2018-09-14,12
2018-09-17,17
2018-09-18,24
2018-09-19,23
2018-09-20,11
2018-09-21,6
2018-09-24,6
2018-09-25,23
2018-09-26,14
2018-09-27,4
2018-09-28,9
2018-10-01,12
2018-10-02,29
2018-10-03,22
2018-10-04,5
2018-10-05,7
2018-10-08,19
2018-10-09,8
2018-10-10,16
2018-10-11,20
2018-10-15,25
2018-10-16,3
2018-10-17,30
2018-10-18,12
2018-10-19,13
2018-10-22,3
2018-10-23,19
2018-10-24,58
2018-10-25,14
2018-10-26,22
2018-10-29,2
2018-10-30,37
2018-10-31,25
2018-11-01,29
2018-11-05,38
2018-11-06,28
2018-11-07,10
2018-11-08,6
2018-11-09,12
2018-11-12,8
2018-11-13,36
2018-11-14,16
2018-11-16,12
2018-11-19,5
2018-11-21,10
2018-11-22,20
2018-11-23,1
2018-11-26,15
2018-11-27,19
2018-11-28,12
2018-11-29,31
2018-11-30,9
2018-12-03,22
2018-12-04,18
2018-12-05,55
2018-12-06,11
2018-12-07,16
2018-12-10,27
2018-12-11,15
2018-12-12,32
2018-12-13,25
2018-12-14,23
2018-12-17,18
2018-12-18,9
2018-12-19,32
2018-12-20,12
2018-12-21,23
2018-12-24,3
2018-12-26,7
2018-12-27,3
2018-12-28,15
2019-01-02,6
2019-01-03,25
2019-01-04,15
2019-01-07,17
2019-01-08,10
2019-01-09,36
2019-01-10,13
2019-01-11,33
2019-01-14,20
2019-01-15,18
2019-01-16,19
2019-01-17,45
2019-01-18,19
2019-01-21,17
2019-01-22,16
2019-01-23,34
2019-01-24,38
2019-01-28,9
2019-01-29,56
2019-01-30,11
2019-01-31,26
2019-02-01,19
2019-02-04,31
2019-02-05,24
2019-02-06,25
2019-02-07,31
2019-02-08,27
2019-02-11,30
2019-02-12,18
2019-02-13,20
2019-02-14,20
2019-02-15,34
2019-02-18,23
2019-02-19,40
2019-02-20,32
2019-02-21,37
2019-02-22,28
2019-02-25,22
2019-02-26,10
2019-02-27,16
2019-02-28,29
2019-03-01,58
2019-03-06,4
2019-03-07,51
2019-03-08,47
2019-03-12,12
2019-03-13,38
2019-03-14,26
2019-03-15,34
2019-03-18,19
2019-03-19,37
2019-03-20,38
2019-03-21,28
2019-03-22,37
2019-03-25,21
2019-03-26,30
2019-03-27,38
2019-03-28,12
2019-03-29,25
2019-04-01,13
2019-04-02,32
2019-04-03,17
2019-04-04,56
2019-04-05,21
2019-04-08,16
2019-04-09,30
2019-04-10,24
2019-04-11,45
2019-04-12,32
2019-04-15,17
2019-04-16,43
2019-04-17,31
2019-04-18,22
2019-04-22,24
2019-04-23,40
2019-04-24,24
2019-04-25,16
2019-04-26,26
2019-04-29,31
2019-04-30,40
2019-05-02,9
2019-05-03,13
2019-05-06,29
2019-05-07,34
2019-05-08,50
2019-05-09,6
2019-05-10,38
2019-05-13,15
2019-05-14,7
2019-05-15,42
2019-05-16,12
2019-05-17,17
2019-05-20,13
2019-05-21,13
2019-05-22,24
2019-05-23,32
2019-05-24,19
2019-05-27,3
2019-05-28,17
2019-05-29,34
2019-05-30,21
2019-05-31,19
2019-06-03,15
2019-06-04,26
2019-06-05,34
2019-06-06,13
2019-06-07,36
2019-06-10,24
2019-06-11,41
2019-06-12,10
2019-06-13,23
2019-06-14,30
2019-06-17,25
2019-06-18,61
2019-06-19,3
2019-06-21,17
2019-06-24,33
2019-06-25,15
2019-06-26,8
2019-06-27,42
2019-06-28,19
2019-07-01,32
2019-07-02,26
2019-07-03,12
2019-07-04,27
2019-07-05,18
2019-07-08,20
2019-07-10,20
2019-07-11,30
2019-07-12,13
2019-07-15,20
2019-07-16,34
2019-07-17,30
2019-07-18,20
2019-07-19,37
2019-07-22,37
2019-07-23,8
2019-07-24,23
2019-07-25,11
2019-07-26,22
2019-07-29,30
2019-07-30,33
2019-07-31,8
2019-08-01,64
2019-08-02,45
2019-08-05,21
2019-08-06,33
2019-08-07,29
2019-08-08,38
2019-08-09,21
2019-08-12,49
2019-08-13,16
2019-08-14,25
2019-08-15,20
2019-08-16,19
2019-08-19,12
2019-08-20,29
2019-08-21,14
2019-08-22,34
2019-08-23,5
2019-08-26,6
2019-08-27,23
2019-08-28,15
2019-08-29,17
2019-08-30,18
2019-09-02,19
2019-09-03,23
2019-09-04,27
2019-09-05,41
2019-09-06,33
2019-09-09,5
2019-09-10,35
2019-09-11,28
2019-09-12,16
2019-09-13,11
2019-09-16,4
2019-09-17,27
2019-09-18,10
2019-09-19,35
2019-09-20,59
2019-09-23,10
2019-09-24,4
2019-09-25,37
2019-09-26,13
2019-09-27,27
2019-09-30,12
2019-10-01,37
2019-10-02,23
2019-10-03,14
2019-10-04,30
2019-10-07,25
2019-10-08,7
2019-10-09,9
2019-10-10,11
2019-10-11,9
2019-10-14,17
2019-10-15,10
2019-10-16,12
2019-10-17,3
2019-10-18,15
2019-10-21,15
2019-10-22,13
2019-10-23,33
2019-10-24,16
2019-10-25,20
2019-10-28,11
2019-10-29,32
2019-10-30,3
2019-11-01,23
2019-11-04,13
2019-11-05,23
2019-11-06,22
2019-11-07,15
2019-11-08,6
2019-11-11,27
2019-11-12,33
2019-11-13,21
2019-11-14,28
2019-11-18,11
2019-11-19,38
2019-11-21,31
2019-11-22,10
2019-11-25,31
2019-11-26,20
2019-11-27,12
2019-11-28,17
2019-11-29,22
2019-12-02,10
2019-12-03,28
2019-12-04,25
2019-12-05,41
2019-12-06,30
2019-12-09,28
2019-12-10,23
2019-12-11,15
2019-12-12,23
2019-12-13,21
2019-12-16,20
2019-12-17,40
2019-12-18,12
2019-12-19,22
2019-12-20,41
2019-12-23,39
2019-12-26,29
2019-12-27,31
2019-12-30,19
2020-01-02,9
2020-01-03,15
2020-01-06,20
2020-01-07,44
2020-01-08,18
2020-01-09,67
2020-01-10,49
2020-01-13,11
2020-01-14,19
2020-01-15,63
2020-01-16,6
2020-01-17,37
2020-01-20,25
2020-01-21,59
2020-01-22,23
